Player,Team,Date,Opponent,Position,Game,AB,R,H,RBI,BB,SO,2B,3B,HR,SB,CS,HBP,SF
Juan Lopez-Rios,DH,5/20/2022,UU,4,1,3,0,1,0,1,0,,,,,2,,
Blake Porter,DH,5/20/2022,UU,8,1,4,1,1,2,0,2,,,1,,,,
Griffin Schneider,DH,5/20/2022,UU,9,1,2,0,0,0,1,1,,,,,,1,
Joe Burke,DH,5/20/2022,UU,3,1,3,0,0,0,1,0,,,,,,,
Andrew Bayard,DH,5/20/2022,UU,7,1,3,0,0,0,0,3,,,,,,,
Sean Lawlar,DH,5/20/2022,UU,7,1,1,0,0,0,0,0,,,,,,,
Nicholas Kreutzer,DH,5/20/2022,UU,0,1,3,0,0,0,0,2,,,,,,,
Michael Luker,DH,5/20/2022,UU,0,1,1,0,0,0,0,0,,,,,,,
Chris De Los Santos,DH,5/20/2022,UU,5,1,3,0,0,0,0,1,,,,,,,
Walker Paz,DH,5/20/2022,UU,5,1,1,0,0,0,0,1,,,,,,,
Whit Hughes,DH,5/20/2022,UU,2,1,3,1,1,0,0,1,,,,,,,
Alex Pup,DH,5/20/2022,UU,6,1,3,0,2,0,0,1,,,,,,,
Drue Galassi,UU,5/20/2022,DH,8,1,4,2,2,1,0,0,,,,,,,
Malek Bolin,UU,5/20/2022,DH,3,1,3,1,2,0,0,1,1,,,,,,
EJ Ranel,UU,5/20/2022,DH,3,1,1,1,0,0,0,0,,,,,,,
Ari Sechopoulos,UU,5/20/2022,DH,7,1,4,1,2,2,0,1,,,,,,,
Leandy Castro,UU,5/20/2022,DH,9,1,3,1,1,0,1,1,,,,,,,
Noah Childress,UU,5/20/2022,DH,5,1,3,1,2,4,0,0,,,1,,,,
Adam De La Cruz,UU,5/20/2022,DH,5,1,1,0,0,0,0,0,,,,,,,
Kevin Lambert,UU,5/20/2022,DH,6,1,4,0,0,0,0,0,,,,,,,
Nick Hernandez,UU,5/20/2022,DH,0,1,4,0,1,0,0,2,,,,,,,
Duncan Hewitt,UU,5/20/2022,DH,2,1,4,0,1,0,0,2,,,,,,,
Jonathan Hodo,UU,5/20/2022,DH,4,1,3,1,0,0,0,0,,,,,,,
Tylor Frailey,BB,5/21/2022,WM,8,1,4,2,1,2,1,0,1,,,,,,
Cody Stevenson,BB,5/21/2022,WM,4,1,1,0,0,0,2,0,,,,,,1,
Ray Peng,BB,5/21/2022,WM,4,1,1,0,0,0,0,0,,,,,,,
Marques Paige,BB,5/21/2022,WM,3,1,3,0,1,1,1,1,1,,,,,,
Ryan Sullivan,BB,5/21/2022,WM,0,1,4,0,1,1,0,1,1,,,,,,
Eric Whitfield,BB,5/21/2022,WM,9,1,3,0,0,0,0,1,,,,,,,
Travious Ford,BB,5/21/2022,WM,9,1,1,0,0,0,0,1,,,,,,,
Cameron Collett,BB,5/21/2022,WM,6,1,4,1,2,0,0,1,,,,,,,
Neifi Mercedes,BB,5/21/2022,WM,5,1,4,1,0,0,0,0,,,,1,,,
Omar Ortiz,BB,5/21/2022,WM,2,1,1,1,0,0,1,1,,,,,,2,
SeyJuan Lawrence,BB,5/21/2022,WM,7,1,4,1,1,1,0,1,,,,,,,
