Player,Team,Date,Opponent,GS,IP,H,R,ER,BB,SO,AB,BF,2B,3B,HR,WP,HBP,BK,W,L,S
Pierce Banks,DH,5/20/2022,UU,1,3,7,4,4,0,2,15,15,,,,2,,,,1,
Andrew Verbrugge,DH,5/20/2022,UU,0,3,4,4,4,0,2,13,13,1,,1,,,,,,
Carson Ferry,DH,5/20/2022,UU,0,1,0,0,0,1,1,3,4,,,,,,,,,
Michael DeSanti,DH,5/20/2022,UU,0,1,0,0,0,0,2,3,3,,,,,,,,,
Justin Rasmussen,UU,5/20/2022,DH,1,2,0,0,0,3,3,5,8,,,,,,,,,
Nik Cardinal,UU,5/20/2022,DH,0,2,1,0,0,0,3,7,8,,,,1,1,,,,
Bryan Camacho,UU,5/20/2022,DH,0,1,3,2,2,0,1,5,5,,,1,,,,,,
Carsie Walker,UU,5/20/2022,DH,0,1,0,0,0,0,2,3,3,,,,,,,1,,
Jake Fiorito,UU,5/20/2022,DH,0,1,1,0,0,0,1,4,4,,,,,,,,,
Keon Taylor,UU,5/20/2022,DH,0,1,0,0,0,0,1,3,3,,,,,,,,,
Jean Muntaner,UU,5/20/2022,DH,0,1,0,0,0,0,1,3,3,,,,,,,,,
Austin Shea,BB,5/21/2022,WM,1,4,2,0,0,0,6,13,13,,,,,,,,,
Eric Sandness,BB,5/21/2022,WM,0,3,5,4,2,3,1,12,15,,,,,,,,,
James Krick,BB,5/21/2022,WM,0,1,1,0,0,0,1,3,3,,,,,,,,,
Greg Loukinen,WM,5/21/2022,BB,1,3,1,1,1,3,4,10,14,1,,,,1,,,,
Rafi Vazquez,WM,5/21/2022,BB,0,3,4,4,4,1,2,12,14,2,,,,1,,,,
Christian Dearman,WM,5/21/2022,BB,0,0,0,0,0,0,0,0,0,,,,,,,,,
Donovan Thacker,WM,5/21/2022,BB,0,1,0,0,0,1,1,3,4,,,,,,,,,
Collin Ledbetter,WM,5/21/2022,BB,0,1,1,1,1,0,0,5,6,,,,1,1,,,,
Rafi Vazquez,WM,5/26/2022,DH,1,4,3,1,1,1,6,17,18,,,,,,,,,
Coleman Murphy,WM,5/26/2022,DH,0,2,2,2,2,2,1,9,11,1,,,,,,,,
D'Anthony Beckman,WM,5/26/2022,DH,0,1,0,0,0,2,1,3,6,,,,,1,,,,
Collin Ledbetter,WM,5/26/2022,DH,0,1,2,0,0,0,2,5,5,,,,,,,,,
Lenny Gwizdala,DH,5/26/2022,WM,1,3,4,4,2,3,2,15,18,2,,,,,,,,
Alex Leija,DH,5/26/2022,WM,0,4,3,2,2,4,2,15,19,,,,,,,,,
Luke Drummond,DH,5/26/2022,WM,0,1,1,0,0,0,0,4,4,,,,,,,,,
Austin Shea,BB,5/27/2022,UU,1,4,7,3,3,4,5,17,22,2,,,,1,,,1,
Zachary Blankenship,BB,5/27/2022,UU,0,2,3,2,2,1,0,8,9,,,,,,,,,
Justin Rasmussen,UU,5/27/2022,BB,1,2.2,2,1,1,7,2,8,16,,,,,1,,,,
Jean Muntaner,UU,5/27/2022,BB,0,2.1,3,1,0,0,2,10,10,,,,,,,1,,
Jake Fiorito,UU,5/27/2022,BB,0,2,1,0,0,0,1,7,8,,,,,1,,,,1
Greg Loukinen,WM,5/28/2022,DH,1,4.2,5,3,2,4,4,19,23,,,1,,,,,,
Christian Dearman,WM,5/28/2022,DH,0,3.1,0,0,0,3,7,12,16,,,,,,,1,,
Collin Ledbetter,WM,5/28/2022,DH,0,1,0,0,0,1,3,3,4,,,,,,,,,1
Andrew Verbrugge,DH,5/28/2022,WM,1,5,5,4,4,3,3,21,24,1,,1,,,,,1,
Carson Ferry,DH,5/28/2022,WM,0,4,2,2,2,1,5,15,16,,,,,,,,,
Nik Cardinal,UU,5/29/2022,WM,1,4,7,4,2,0,1,19,19,1,,,,,,1,,
Bryan Camacho,UU,5/29/2022,WM,0,1,1,0,0,1,1,4,5,1,,,,,,,,
Carsie Walker,UU,5/29/2022,WM,0,2,3,1,1,2,0,7,9,,,1,,,,,,1
Donovan Thacker,WM,5/29/2022,UU,1,3.1,5,3,3,2,2,15,17,1,,2,,,,,,
D'Anthony Beckman,WM,5/29/2022,UU,0,1,1,2,2,2,2,4,6,,,1,,,,,1,
Coleman Murphy,WM,5/29/2022,UU,0,2,7,8,8,2,3,13,15,,,2,,,,,,
Zach Devon,BB,5/30/2022,BB,1,3,4,0,0,0,3,13,13,,,,,,,,,
Michael DeSanti,DH,5/30/2022,BB,0,2,2,3,3,2,3,8,11,,,,1,1,,,1,
Luke Drummond,DH,5/30/2022,BB,0,1,2,1,1,1,1,5,6,1,,,,,,,,
Eric Sandness,BB,5/30/2022,DH,1,5,3,0,0,0,3,18,18,,,1,1,,,1,,
Jesse Galindo,BB,5/30/2022,DH,0,1,1,0,0,1,1,4,5,,,,,,,,,
James Krick,BB,5/30/2022,DH,0,1,3,0,0,0,1,5,5,,,,,,,,,
Andrew Verbrugge,DH,6/3/2022,WM,1,4,5,4,4,2,3,18,21,,,,2,1,,,,
Lenny Gwizdala,DH,6/3/2022,WM,0,2,3,3,3,1,1,9,10,1,,1,,,,,1,
Alex Leija,DH,6/3/2022,WM,0,1,2,5,5,5,0,5,10,1,,,,,,,,
Luke Drummond,DH,6/3/2022,WM,0,1,0,0,0,0,1,3,3,,,,,,,,,
Donovan Thacker,WM,6/3/2022,DH,1,0.1,0,0,0,0,0,1,1,,,,,,,,,
Christian Dearman,WM,6/3/2022,DH,0,5,9,5,5,2,3,23,25,,,4,1,,,,,
D'Anthony Beckman,WM,6/3/2022,DH,0,0.2,0,0,0,1,1,2,3,,,,,,,1,,
Collin Ledbetter,WM,6/3/2022,DH,0,3,0,0,0,1,7,9,10,,,,,,,,,1
Austin Shea,BB,6/4/2022,DH,1,4,3,3,3,5,2,14,20,,,,1,1,,,1,
Zachary Blankenship,BB,6/4/2022,DH,0,2,2,4,4,2,5,9,11,,,,6,,,,,
Zach Devon,BB,6/4/2022,DH,0,1,1,0,0,0,0,3,5,,,,,2,,,,
James Krick,BB,6/4/2022,DH,0,1,0,0,0,0,1,3,3,,,,,,,,,
Carson Ferry,DH,6/4/2022,BB,1,5,2,1,1,3,6,15,19,,,,1,1,,1,,
Jacob Wosinski,DH,6/4/2022,BB,0,2,0,0,0,0,3,6,6,,,,,,,,,
Michael DeSanti,DH,6/4/2022,BB,0,1,1,0,0,0,1,4,4,1,,,,,,,,
Luke Drummond,DH,6/4/2022,BB,0,1,0,0,0,0,1,3,3,,,,,,,,,
Greg Loukinen,WM,6/5/2022,UU,1,6,3,2,2,1,7,22,23,,1,,,,,,,
